"filename", "language", "C++", "Markdown", "HTML", "JSON with Comments", "JSON", "CMake", "Makefile", "CMake Cache", "TypeScript", "Log", "C", "comment", "blank", "total"
"c:\Projects\Appetito\libs\asio\include\asio\buffered_stream_fwd.hpp", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 26
"c:\Projects\Appetito\libs\asio\include\asio\buffered_write_stream.hpp", "C++", 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 40, 278
"c:\Projects\Appetito\libs\asio\include\asio\buffered_write_stream_fwd.hpp", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 26
"c:\Projects\Appetito\libs\asio\include\asio\buffers_iterator.hpp", "C++", 388, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 67, 522
"c:\Projects\Appetito\libs\asio\include\asio\cancellation_signal.hpp", "C++", 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 43, 306
"c:\Projects\Appetito\libs\asio\include\asio\cancellation_state.hpp", "C++", 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 33, 236
"c:\Projects\Appetito\libs\asio\include\asio\cancellation_type.hpp", "C++", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 33, 175
"c:\Projects\Appetito\libs\asio\include\asio\co_spawn.hpp", "C++", 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 385, 23, 524
"c:\Projects\Appetito\libs\asio\include\asio\completion_condition.hpp", "C++", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 29, 219
"c:\Projects\Appetito\libs\asio\include\asio\compose.hpp", "C++", 618, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 98, 807
"c:\Projects\Appetito\libs\asio\include\asio\connect.hpp", "C++", 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 968, 37, 1208
"c:\Projects\Appetito\libs\asio\include\asio\connect_pipe.hpp", "C++", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 19, 84
"c:\Projects\Appetito\libs\asio\include\asio\coroutine.hpp", "C++", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 233, 19, 329
"c:\Projects\Appetito\libs\asio\include\asio\deadline_timer.hpp", "C++", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12, 39
"c:\Projects\Appetito\libs\asio\include\asio\defer.hpp", "C++", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 15, 217
"c:\Projects\Appetito\libs\asio\include\asio\deferred.hpp", "C++", 525, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 74, 676
"c:\Projects\Appetito\libs\asio\include\asio\detached.hpp", "C++", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 17, 114
"c:\Projects\Appetito\libs\asio\include\asio\detail\array.hpp", "C++", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 39
